,index,drug label,event intervention,other event intervention,event comparator,other event comparator,ROR,SE_logROR,CI95_low,CI95_high,IC,IC_025
37,DS,BEBTELOVIMAB vs All others,0,243,200,34087,0.0,inf,0.0,,-1.338925861839835,-11.662684867163428
38,HO,BEBTELOVIMAB vs All others,46,197,10156,24131,0.5548099395621202,0.16418031855163362,0.40215282557450643,0.7654156565907184,-0.4413045206073383,-0.9315474029744216
39,LT,BEBTELOVIMAB vs All others,14,229,2243,32044,0.8733935952122761,0.2761746226965808,0.5083062129481045,1.5007024363003507,-0.12211502466322215,-1.0249599457745557
40,OT,BEBTELOVIMAB vs All others,111,132,15815,18472,0.9821860719110167,0.12923673504108052,0.7624041322056064,1.2653256181405819,-0.009612632691733234,-0.3238303943485036
41,RI,BEBTELOVIMAB vs All others,43,200,621,33666,11.655700483091788,0.17290408748814104,8.305378863216799,16.357514327639876,2.129345600813487,1.622029875558731
42,CA,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,21,34435,0.0,inf,0.0,,-0.08618566694076035,-10.409944672264356
43,DE,TIXAGEVIMAB+CILGAVIMAB vs All others,6,68,5209,29247,0.49541517509288224,0.42614400850858614,0.21489593590571457,1.1421165071264823,-0.585740022563087,-2.00079336686783
44,DS,TIXAGEVIMAB+CILGAVIMAB vs All others,0,74,200,34256,0.0,inf,0.0,,-0.6190837617588706,-10.942842767082464
45,HO,TIXAGEVIMAB+CILGAVIMAB vs All others,36,38,10166,24290,2.263582426457645,0.23288001967308417,1.434051799858343,3.5729569893319164,0.4898803532850831,-0.06540918676620427
46,LT,TIXAGEVIMAB+CILGAVIMAB vs All others,11,63,2246,32210,2.503992989300202,0.32750326565715243,1.3178218404073192,4.757836528590696,0.7677029272613396,-0.2566981420235544
47,OT,TIXAGEVIMAB+CILGAVIMAB vs All others,24,50,15902,18554,0.5600503081373411,0.2485627658604585,0.34406947340907323,0.9116076022002002,-0.3460598685892258,-1.0292528344353535
48,RI,TIXAGEVIMAB+CILGAVIMAB vs All others,1,73,663,33793,0.6982169053079609,1.0075894589019139,0.09689757256278,5.0311564465866265,-0.24841849709988234,-4.031519322065012
